fix_grp,Too Broad Except,Bare Except,Swallowing Exception,Nested Try,Bare Raise,Too Broad Raising,Try and Return,Bare Raise Inside Finally
Change the the exception code logic,32.73,14.55,21.82,7.27,16.36,3.64,1.82,1.82
Exception type operations,36.24,14.77,22.82,4.7,18.79,1.34,1.34,
Exception handling block operations,35.92,16.02,19.9,8.74,17.96,1.46,,
Improve raising conditions,40,11.67,5,1.67,36.67,5,,
Improve the message error,44.44,11.11,11.11,22.22,11.11,,,
EH Anti-Patterns,30,20,40,10,,,,
Re-raise a exception,60,,,10,30,,,
Fix API version,33.33,66.67,,,,,,
Improve the Finally Mechanism,100,,,,,,,
Import with a exception handling code,,,100,,,,,
